id,warehouse_name,warehouse_code,created_at
145,长沙乐行云仓,JM21,2026-05-12 17:43:45.029457
146,柳州怡佳德云仓,JM22,2026-05-12 17:43:45.029457
147,呼市昕海云仓,JM23,2026-05-12 17:43:45.029457
148,运城寰宇云仓,JM24,2026-05-12 17:43:45.029457
149,乌市海鸿云仓,XJHK001,2026-05-12 17:43:45.029457
150,咸阳华翰云仓,XYHH01,2026-05-12 17:43:45.029457
151,武汉一融云仓,WHYRYC,2026-05-12 17:43:45.029457
152,佛山餐享家云仓,FSCXJYC,2026-05-12 17:43:45.029457
153,新密藏金源云仓,JR001,2026-05-12 17:43:45.029457
154,天津展冷金融仓,JR002,2026-05-12 17:43:45.029457
155,华鼎平谷仓,75,2026-05-12 17:43:45.029457
156,廊坊仓,LFWW,2026-05-12 17:45:05.396473
